transaction_id,datetime,day_of_week,amount
1,2023-01-01 5:30,Sunday,29.29
2,2023-01-01 7:18,Sunday,42.98
3,2023-01-01 9:05,Sunday,43.23
4,2023-01-01 9:57,Sunday,35.7
5,2023-01-01 10:00,Sunday,40.23
6,2023-01-01 11:15,Sunday,36.88
7,2023-01-01 14:26,Sunday,38.97
8,2023-01-01 16:13,Sunday,32.67
9,2023-01-01 16:44,Sunday,40.71
10,2023-01-01 17:20,Sunday,30.42
11,2023-01-01 17:23,Sunday,29.57
12,2023-01-01 18:25,Sunday,37.33
13,2023-01-01 18:42,Sunday,36.93
14,2023-01-01 19:07,Sunday,39.13
15,2023-01-01 21:36,Sunday,34.95
16,2023-01-01 22:35,Sunday,46.48
17,2023-01-02 4:34,Monday,24.44
18,2023-01-02 5:05,Monday,24.65
19,2023-01-02 6:12,Monday,24.55
20,2023-01-02 8:50,Monday,26.88
21,2023-01-02 9:48,Monday,33.13
22,2023-01-02 15:09,Monday,25.28
23,2023-01-02 15:34,Monday,26.12
24,2023-01-02 16:26,Monday,18.75
25,2023-01-02 18:11,Monday,18.86
26,2023-01-02 18:14,Monday,23.79
27,2023-01-02 18:44,Monday,23.44
28,2023-01-02 19:24,Monday,25.68
29,2023-01-02 21:10,Monday,24.07
30,2023-01-02 23:25,Monday,25.7
31,2023-01-03 2:18,Tuesday,19.28
32,2023-01-03 5:37,Tuesday,22.65
33,2023-01-03 8:11,Tuesday,19.03
34,2023-01-03 13:00,Tuesday,23.75
35,2023-01-03 13:13,Tuesday,17.58
36,2023-01-03 15:21,Tuesday,23.65
37,2023-01-03 17:16,Tuesday,18.7
38,2023-01-03 19:41,Tuesday,21.66
39,2023-01-03 20:13,Tuesday,25.15
40,2023-01-03 21:05,Tuesday,23.33
41,2023-01-03 21:07,Tuesday,18.23
42,2023-01-03 22:08,Tuesday,20.88
43,2023-01-03 22:12,Tuesday,18.62
44,2023-01-04 2:02,Wednesday,18.49
45,2023-01-04 3:02,Wednesday,23.54
46,2023-01-04 3:26,Wednesday,24.77
47,2023-01-04 4:27,Wednesday,24.44
48,2023-01-04 5:06,Wednesday,24.89
49,2023-01-04 5:56,Wednesday,23.18
50,2023-01-04 5:57,Wednesday,22.45
51,2023-01-04 6:50,Wednesday,20.23
52,2023-01-04 8:55,Wednesday,22
53,2023-01-04 11:04,Wednesday,19.54
54,2023-01-04 11:14,Wednesday,20.87
55,2023-01-04 13:06,Wednesday,23.48
56,2023-01-04 15:20,Wednesday,22.91
57,2023-01-04 18:47,Wednesday,31.79
58,2023-01-04 19:23,Wednesday,19.49
59,2023-01-04 21:15,Wednesday,22.9
60,2023-01-04 22:57,Wednesday,19.28
61,2023-01-04 23:07,Wednesday,22.17
62,2023-01-04 23:53,Wednesday,22.29
63,2023-01-05 0:09,Thursday,27.78
64,2023-01-05 0:22,Thursday,23.87
65,2023-01-05 2:06,Thursday,24.65
66,2023-01-05 2:48,Thursday,23.93
67,2023-01-05 4:24,Thursday,20.99
68,2023-01-05 6:29,Thursday,23.27
69,2023-01-05 10:08,Thursday,24.09
70,2023-01-05 10:42,Thursday,25.48
71,2023-01-05 10:44,Thursday,26.95
72,2023-01-05 14:48,Thursday,35.32
73,2023-01-05 15:27,Thursday,24.5
74,2023-01-05 21:39,Thursday,20.06
75,2023-01-05 22:48,Thursday,26.92
76,2023-01-06 0:30,Friday,24.99
77,2023-01-06 2:34,Friday,29.71
78,2023-01-06 4:08,Friday,31.58
79,2023-01-06 5:38,Friday,26.66
80,2023-01-06 8:08,Friday,23.93
81,2023-01-06 8:44,Friday,27.23
82,2023-01-06 8:59,Friday,28.43
83,2023-01-06 10:38,Friday,26.25
84,2023-01-06 10:45,Friday,25.44
85,2023-01-06 11:06,Friday,29.13
86,2023-01-06 11:31,Friday,28.92
87,2023-01-06 18:21,Friday,26.17
88,2023-01-06 19:16,Friday,21.89
89,2023-01-07 4:14,Saturday,42.55
90,2023-01-07 5:00,Saturday,36.63
91,2023-01-07 6:45,Saturday,41.39
92,2023-01-07 6:58,Saturday,41.09
93,2023-01-07 8:08,Saturday,31.21
94,2023-01-07 8:40,Saturday,40.75
95,2023-01-07 10:35,Saturday,42.86
96,2023-01-07 11:34,Saturday,43.46
97,2023-01-07 17:51,Saturday,40.96
98,2023-01-07 18:13,Saturday,30.81
99,2023-01-07 19:32,Saturday,54.58
100,2023-01-07 21:18,Saturday,42.4
101,2023-01-08 1:17,Sunday,32.88
102,2023-01-08 8:28,Sunday,34.82
103,2023-01-08 9:04,Sunday,39.53
104,2023-01-08 9:27,Sunday,41.6
105,2023-01-08 9:36,Sunday,36.21
106,2023-01-08 10:11,Sunday,42.27
107,2023-01-08 11:29,Sunday,30.19
108,2023-01-08 14:10,Sunday,33.66
109,2023-01-08 17:27,Sunday,28.95
110,2023-01-08 19:56,Sunday,34.35
111,2023-01-08 20:24,Sunday,45.47
112,2023-01-08 23:34,Sunday,48.02
113,2023-01-09 1:00,Monday,25.04
