Traffic source,Views,Watch time (hours),Average view duration,Impressions,Impressions click-through rate (%)
Total,1296398,61731.1045,0:02:51,8202554,6.46
YouTube search,482287,19887.202,0:02:28,3926544,9.37
External,452033,25023.9045,0:03:19,,
Suggested videos,209598,9318.8988,0:02:40,2363255,5.24
Direct or unknown,54271,2542.325,0:02:48,,
Other YouTube features,28207,1339.2104,0:02:50,,
Browse features,25242,1064.0129,0:02:31,381518,3.37
Playlists,24250,1572.8574,0:03:53,389127,3.38
Channel pages,11015,451.9252,0:02:27,775602,0.7
Playlist page,8441,493.4752,0:03:30,366508,1.72
External app,568,23.028,0:02:25,,
Notifications,354,9.6525,0:01:38,,
End screens,86,3.0591,0:02:08,,
Video cards and annotations,24,1.2214,0:03:03,,
Unknown – embedded player,18,0.2669,0:00:53,,
YouTube advertising,2,0.0154,0:00:27,,
Google search,2,0.0498,0:01:29,,
