Country Code,Country Name,1960,1970,1980,1990,2000,2023
ABW,Aruba,54608,59106,62267,65712,89101,106277
AFE,Africa Eastern and Southern,130692579,172475766,230967858,309890664,401600588,739108306
AFG,Afghanistan,8622466,10752971,12486631,10694796,19542982,42239854
AFW,Africa Western and Central,97256290,121424797,157825609,206739024,269611898,502789511
AGO,Angola,5357195,6029700,8330047,11828638,16394062,36684202
ALB,Albania,1608800,2135479,2671997,3286542,3089027,2745972
AND,Andorra,9443,19860,35611,53569,66097,80088
ARB,Arab World,93359407,122475578,167707208,225923327,287065982,473272080
ARE,United Arab Emirates,133426,298084,1014048,1900151,3275333,9516871
ARG,Argentina,20349744,23842803,28024803,32637657,37070774,46654581
ARM,Armenia,1904148,2534377,3135123,3556539,3168523,2777970
ASM,American Samoa,20085,27075,32886,47818,58230,43914
ATG,Antigua and Barbuda,55342,64517,64889,63328,75055,94298
AUS,Australia,10276477,12507000,14692000,17065128,19028802,26638544
AUT,Austria,7047539,7467086,7549433,7677850,8011566,9132383
AZE,Azerbaijan,3894500,5172050,6160500,7175200,8048600,10112555
BDI,Burundi,2746628,3497834,4312834,5483793,6307659,13238559
BEL,Belgium,9153489,9655549,9859242,9967379,10251250,11822592
BEN,Benin,2512284,3023443,3833939,5133419,6998023,13712828
BFA,Burkina Faso,4783259,5611666,6932967,9131361,11882888,23251485
BGD,Bangladesh,50396429,67541860,83929765,107147651,129193327,172954319
BGR,Bulgaria,7867374,8489574,8861535,8718289,8170172,6430370
BHR,Bahrain,160691,222555,362595,517418,711442,1485509
BHS,"Bahamas, The",114500,179129,223752,270679,325014,412623
BIH,Bosnia and Herzegovina,3262539,3815561,4199820,4494310,4179350,3210847
BLR,Belarus,8198000,9040000,9643000,10189348,9979610,9178298
BLZ,Belize,91403,120905,145133,182589,240406,410825
BMU,Bermuda,44400,55000,54670,59326,61833,63489
BOL,Bolivia,3707515,4585693,5736088,7096194,8592656,12388571
BRA,Brazil,73092515,96369875,122288383,150706446,175873720,216422446
BRB,Barbados,232550,241397,253575,258868,264657,281995
BRN,Brunei Darussalam,85346,133343,187921,261928,333926,452524
BTN,Bhutan,221266,298894,415257,558442,587207,787424
BWA,Botswana,512865,592244,938578,1341474,1726985,2675352
CAF,Central African Republic,1679728,2067356,2415276,2809221,3759170,5742315
CAN,Canada,17909356,21324000,24515667,27691138,30685730,40097761
CEB,Central Europe and the Baltics,91401764,99134548,106541316,110743128,108447824,100156608
CHE,Switzerland,5327827,6180877,6319408,6715519,7184250,8849852
CHI,Channel Islands,109186,121003,127984,140601,145306,175346
CHL,Chile,8141820,9820481,11469828,13342868,15351799,19629590
CHN,China,667070000,818315000,981235000,1135185000,1262645000,1410710000
CIV,Cote d'Ivoire,3708661,5477086,8303810,11910540,16799670,28873034
