Content,Video title,Video publish time,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Average view duration,Impressions,Impressions click-through rate (%)
Total,,,1296398,61731.1045,4587,3899.31,0:02:51,8202554,6.46
KxBtMmzDRTk,Graphing Supply and Demand in Excel,"Jan 28, 2016",211830,8606.9686,282,1093.41,0:02:26,645165,8.37
R6H4Jy3fSDc,Calculating Marginal Revenue in Excel,"Nov 24, 2013",169731,5409.9523,117,233.009,0:01:54,249912,10.44
HZBfrgg1VXc,Capacity and Bottlenecks,"Jan 31, 2017",96891,3452.437,573,433.318,0:02:08,795590,8.53
CBDfMETpaH4,Capacity Planning Process,"Jan 31, 2017",79221,3917.1554,388,453.487,0:02:58,705841,6.39
DH_Pa7rUjkU,Using Excel to Do Trend Forecasting,"Jan 28, 2016",71191,3277.5853,233,256.943,0:02:45,712286,6.11
pMVCnimPd5k,Closeness Ratings,"Feb 10, 2017",44209,2396.6307,122,49.04,0:03:15,304238,7.77
SylXig79Om0,Calculating Aggregate Expenditures,"Mar 14, 2017",40218,1175.7187,165,81.619,0:01:45,204680,9.38
ibDNEMnHihM,Project Crashing,"Sep 14, 2017",34368,1674.9014,128,117.997,0:02:55,239221,9.99
BeHJS2AOIvs,Centre of Gravity Method,"Feb 10, 2017",32494,1625.5591,110,101.453,0:03:00,209981,7.28
CdSKAqtuhkQ,Locational Break Even Analysis,"Feb 10, 2017",21043,1240.1085,103,40.458,0:03:32,143137,7.35
FWpl-W_vnKk,Process Design,"Sep 28, 2017",18278,1496.2476,157,51.007,0:04:54,164172,6.74
sRbERagWsPU,Lorenz Curve Graphing,"Jan 19, 2016",17339,664.988,15,27.69,0:02:18,75569,5.88
MrqYJGO1q2k,Dimensions of Quality,"Nov 3, 2017",13124,578.0557,52,15.761,0:02:38,81753,8.28
UtPVhXMJuNw,Economic Growth Calculated,"Sep 28, 2017",12237,441.1387,74,6.626,0:02:09,83297,11.53
rzSDDnFC6Uo,Kanban Cards,"Apr 7, 2017",11187,537.3557,45,59.045,0:02:52,74084,9.16
nYaYM8n7Rrs,Calculating Exchange Rates,"Dec 1, 2017",11158,198.9784,42,30.193,0:01:04,72593,8.85
5IyPFyD4_Xk,Forecasting Accuracy,"Oct 13, 2017",10731,700.6814,50,31.414,0:03:55,86113,7.74
SUH7LEe9rqY,Block Diagramming,"Feb 10, 2017",9461,524.2991,19,15.759,0:03:19,66049,6.76
xTln8z76Ryo,Measuring Forecasting Error,"Jan 28, 2016",9425,520.4618,23,30.685,0:03:18,93270,7.1
Nqx-LEZK2cs,Fixed Order Quantity,"Nov 29, 2017",8987,641.7425,39,26.554,0:04:17,59749,7.52
U6g-l1AWwxo,Assembly Line Balancing,"Feb 10, 2017",8708,527.1582,30,21.253,0:03:37,61276,3.83
 -R7Vph2GOrk,04. Optimal Consumption Point,"Sep 22, 2013",8559,208.6226,13,9.069,0:01:27,13532,7.4
U-0t0tmpFWU,Employee Scheduling,"Sep 15, 2017",7438,274.795,20,43.405,0:02:13,79932,6.71
EVnLggnaxZc,Short Term Forecasting Methods,"Oct 13, 2017",7159,485.3765,36,20.199,0:04:04,51902,7.87
GoEjR0kxa_Y,Single Period Model,"Nov 29, 2017",6245,439.0408,15,12.456,0:04:13,37957,6.94
xLudLNuDdwQ,Break Even Analysis for Capacity Planning,"Oct 20, 2017",6001,407.5324,35,16.205,0:04:04,40948,6.96
g5wyGNPLMTc,Process Flow Diagram and Value Stream Mapping,"Sep 28, 2017",5877,293.417,24,28.251,0:02:59,40421,6.76
L-6lHtsRfOs,09. Perfect Complements,"Sep 22, 2013",5777,213.2981,9,0.214,0:02:12,6195,3.33
HE3QEwAGF_c,01. Graphing a Budget Line,"Sep 22, 2013",5344,66.9317,3,13.155,0:00:45,3479,5.2
B6EDYHrw5fQ,Trends in Operations Management,"Sep 1, 2020",4990,157.4543,17,8.29,0:01:53,34916,10.08
xPxOCu-KFyU,Costs of Quality,"Nov 3, 2017",4971,263.1989,19,9.368,0:03:10,44264,5.93
iiXUnu9vEaY,Factors of Economic Growth,"Oct 5, 2017",4851,173.9444,14,2.082,0:02:09,37284,7.84
RvMCHdHSkVk,Graphing Aggregate Expenditures,"Mar 14, 2017",4719,190.0983,6,13.537,0:02:25,13379,7.47
I5B8IDBmqwg,Annotate PDFs with Microsoft Edge,"Aug 31, 2020",4549,52.128,0,23.515,0:00:41,11051,8.5
hLNgQ9gb5u4,Process Layout,"Oct 27, 2017",4438,146.942,15,4.552,0:01:59,33730,5.77
wT5htwAIMuM,Graphing the Bullwhip Effect,"Nov 22, 2016",4205,122.6458,6,21.092,0:01:45,18233,7.38
i8GvSOnVBBg,Discretionary Fiscal Policy,"Nov 24, 2017",4171,238.4799,14,3.57,0:03:25,25625,9.93
EI2Mgrvq0Us,Quality Standards,"Nov 3, 2017",4156,76.1498,8,5.224,0:01:05,24940,6.48
_xDlgBzkgEc,Classical Theory of Unemployment,"Oct 20, 2014",4042,100.2038,10,2.019,0:01:29,21912,5.54
RA3ZskgjGhs,Fixed Order Interval,"Nov 29, 2017",4017,259.2489,16,12.698,0:03:52,19549,7.55
TgPjzKN7DAg,Product Layout,"Oct 27, 2017",3732,171.2054,15,4.024,0:02:45,28707,5.23
a2dJqaEzgXk,10. Perfect Substitutes,"Sep 22, 2013",3657,122.2225,5,0.186,0:02:00,6881,5.32
kesCk5NvnPE,Bridging the Capacity Gap,"Jan 31, 2017",3656,270.3622,38,13.851,0:04:26,27664,6.76
AdyCTw2QFLk,Aggregate  Expenditures,"Oct 27, 2017",3605,169.3633,11,3.732,0:02:49,29493,7.11
Gst1BAIPZ8U,Factor Rating Analysis,"Feb 10, 2017",3579,184.2895,9,11.328,0:03:05,24328,4.96
7EmwEiZCYyw,Nominal and Real Income,"Sep 23, 2019",3443,90.4992,18,8.242,0:01:34,14793,7.1
E-7r0LnLBUk,History of Exchange Rates,"Dec 1, 2017",3282,135.1975,21,4.91,0:02:28,28826,6.84
8IYmnYztPBo,Associative Models,"Oct 13, 2017",3057,94.9223,4,6.643,0:01:51,20854,7.74
HhcQoGFIgHE,Net Exports,"Oct 27, 2017",3057,127.5883,6,1.915,0:02:30,27242,7.39
jOJtXqN8qK8,Quality Gurus,"Nov 3, 2017",2966,123.1744,13,6,0:02:29,26296,6.23
Pk8nb4I4gsI,Variability in Activity Time,"Sep 14, 2017",2960,198.1604,6,6.499,0:04:01,16609,7.17
